date,time,ozone_santaClarita,no_santaClarita,no2_santaClarita,RH_santaClarita,TEMP_santaClarita,WINDIR_santaClarita,WINDSPEED_santaClarita
2020/01/06,01:00:00,0.0374,0.2,2.3,41.4,56.05,300.0,7.0
2020/01/06,02:00:00,0.038,0.3,1.8,38.5,56.28,319.0,8.0
2020/01/06,03:00:00,0.0374,0.1,2.0,37.9,55.32,324.0,7.0
2020/01/06,04:00:00,0.0354,0.3,3.6,39.2,54.03,312.0,5.0
2020/01/06,05:00:00,0.0358,0.4,3.7,37.5,54.72,331.0,8.0
2020/01/06,06:00:00,0.034,0.6,3.4,40.2,53.56,335.0,8.0
2020/01/06,07:00:00,0.0322,1.4,6.4,38.2,53.89,340.0,8.0
2020/01/06,08:00:00,0.0345,1.5,4.8,32.3,58.03,331.0,8.0
2020/01/06,09:00:00,0.0402,1.2,3.0,20.6,64.37,360.0,8.0
2020/01/06,10:00:00,0.0439,0.7,1.5,15.8,67.3,26.0,10.0
2020/01/06,11:00:00,0.0449,0.6,1.4,13.7,69.34,32.0,11.0
2020/01/06,12:00:00,0.0446,0.6,1.6,7.5,69.86,43.0,13.0
2020/01/06,13:00:00,0.0439,1.0,2.1,9.7,69.78,44.0,11.0
2020/01/06,14:00:00,0.0442,0.7,1.7,8.8,69.64,41.0,11.0
2020/01/06,15:00:00,0.0433,0.5,2.1,9.4,69.78,29.0,8.0
2020/01/06,16:00:00,0.0407,0.9,3.2,12.4,67.73,36.0,6.0
2020/01/06,17:00:00,0.0349,0.6,6.8,21.4,62.36,335.0,6.0
2020/01/06,18:00:00,0.0318,0.6,9.700000000000001,24.8,59.81,325.0,5.0
2020/01/06,19:00:00,0.035,0.4,5.8,24.3,58.46,340.0,7.0
2020/01/06,20:00:00,0.0362,0.5,5.1000000000000005,21.7,58.81,339.0,8.0
2020/01/06,21:00:00,0.0368,0.3,4.3,16.8,58.51,334.0,8.0
2020/01/06,22:00:00,0.0294,0.3,8.9,29.1,55.84,329.0,6.0
2020/01/06,23:00:00,0.0302,0.2,7.8,28.1,54.25,334.0,7.0
2020/01/07,00:00:00,0.0287,0.3,7.9,36.3,53.23,320.0,4.0
2020/01/07,01:00:00,0.0326,0.2,5.1000000000000005,33.6,53.69,311.0,4.0
2020/01/07,02:00:00,0.0276,0.2,5.2,36.7,52.11,314.0,3.0
2020/01/07,03:00:00,0.0245,0.2,5.8999999999999995,40.8,50.81,332.0,2.0
2020/01/07,04:00:00,0.0244,0.4,10.5,37.0,52.11,321.0,5.0
2020/01/07,05:00:00,0.0193,1.3,17.0,38.6,50.24,318.0,2.0
2020/01/07,06:00:00,0.0102,6.8999999999999995,24.9,41.9,48.16,326.0,2.0
2020/01/07,07:00:00,0.0051,29.1,26.700000000000003,42.6,47.31,327.0,2.0
2020/01/07,08:00:00,0.0106,22.1,22.599999999999998,39.8,51.06,333.0,1.0
2020/01/07,09:00:00,0.0265,6.7,13.6,25.2,59.89,306.0,4.0
2020/01/07,10:00:00,0.0367,1.6,4.5,19.0,64.15,314.0,5.0
2020/01/07,11:00:00,0.039,1.1,3.1,15.4,67.8,326.0,5.0
2020/01/07,12:00:00,0.0396,1.1,3.3,10.9,70.5,334.0,3.0
2020/01/07,13:00:00,0.041,0.6,2.5,13.9,70.57,48.0,2.0
2020/01/07,14:00:00,0.0409,1.4,3.9,11.0,71.02,51.0,2.0
2020/01/07,15:00:00,0.039,1.3,4.8,12.2,71.44,51.0,2.0
2020/01/07,16:00:00,0.0262,1.0,11.4,20.2,68.3,112.0,1.0
2020/01/07,17:00:00,0.0077,1.1,24.6,27.5,59.28,149.0,2.0
2020/01/07,18:00:00,0.0024,4.7,27.400000000000002,40.3,53.81,134.0,2.0
2020/01/07,19:00:00,0.0028,6.4,26.3,49.3,50.65,133.0,2.0
2020/01/07,20:00:00,0.0031,3.2,24.2,53.7,49.23,145.0,2.0
2020/01/07,21:00:00,0.005,3.7,20.5,60.5,46.27,138.0,2.0
2020/01/07,22:00:00,0.004,2.7,19.0,64.1,44.57,130.0,2.0
2020/01/07,23:00:00,0.0041,2.2,18.9,64.8,44.28,144.0,1.0
2020/01/08,00:00:00,0.0018,6.8999999999999995,19.5,69.5,42.59,0.0,1.0
2020/01/08,01:00:00,0.0038,3.8,18.9,69.9,41.57,0.0,1.0
2020/01/08,02:00:00,0.0033,2.3,17.7,71.6,40.96,0.0,1.0
2020/01/08,03:00:00,0.0035,2.0,15.7,77.4,38.86,0.0,1.0
2020/01/08,04:00:00,0.0018,3.7,19.7,77.1,38.78,142.0,2.0
2020/01/08,05:00:00,0.001,13.799999999999999,19.3,80.4,37.28,167.0,1.0
2020/01/08,06:00:00,0.001,34.7,20.1,84.9,36.11,142.0,2.0
2020/01/08,07:00:00,0.0024,34.9,21.8,78.6,39.96,149.0,2.0
2020/01/08,08:00:00,0.0134,17.7,17.0,58.9,50.06,166.0,2.0
2020/01/08,09:00:00,0.0279,3.0,7.0,47.8,54.44,0.0,1.0
2020/01/08,10:00:00,0.0329,2.5,5.6,39.2,57.7,304.0,2.0
2020/01/08,11:00:00,0.0415,1.2,3.3,35.3,62.41,312.0,6.0
2020/01/08,12:00:00,0.0414,1.4,3.4,30.4,64.37,315.0,9.0
2020/01/08,13:00:00,0.0407,1.4,3.8,24.4,64.46,317.0,6.0
2020/01/08,14:00:00,0.039,2.2,4.6,28.0,63.94,338.0,6.0
2020/01/08,15:00:00,0.0364,1.5,3.6,39.6,59.48,348.0,8.0
2020/01/08,16:00:00,0.0351,1.0,4.1000000000000005,47.8,55.21,323.0,5.0
2020/01/08,17:00:00,0.0349,0.4,5.3,48.9,51.85,306.0,2.0
2020/01/08,18:00:00,0.0367,1.6,5.4,51.0,50.98,294.0,4.0
2020/01/08,19:00:00,0.0275,0.8,10.0,56.7,48.87,184.0,1.0
2020/01/08,20:00:00,0.019,0.6,12.9,68.1,44.96,106.0,3.0
2020/01/08,21:00:00,0.0179,0.4,10.8,72.6,41.97,121.0,3.0
2020/01/08,22:00:00,0.0144,0.4,12.5,71.5,41.61,140.0,2.0
2020/01/08,23:00:00,0.0155,0.4,11.9,68.9,43.01,141.0,2.0
2020/01/09,00:00:00,0.0154,0.4,9.700000000000001,71.3,42.65,134.0,1.0
2020/01/09,01:00:00,0.0212,0.2,7.4,69.2,43.52,163.0,2.0
2020/01/09,02:00:00,0.0185,0.3,8.9,74.0,41.32,139.0,2.0
2020/01/09,03:00:00,0.0175,0.2,8.7,77.3,39.95,132.0,2.0
2020/01/09,04:00:00,0.0162,0.4,9.0,78.8,39.22,122.0,2.0
2020/01/09,05:00:00,0.0108,1.2,12.6,82.3,37.47,131.0,1.0
2020/01/09,06:00:00,0.0026,12.1,20.6,85.7,36.23,0.0,1.0
2020/01/09,07:00:00,0.0025,37.900000000000006,23.2,86.6,35.99,137.0,2.0
2020/01/09,08:00:00,0.0054,30.5,23.2,77.7,39.0,264.0,1.0
2020/01/09,09:00:00,0.019,12.1,15.100000000000001,60.4,48.14,0.0,1.0
2020/01/09,10:00:00,0.0358,1.9,4.7,46.3,54.49,334.0,2.0
2020/01/09,11:00:00,0.0352,2.4,6.3,44.7,56.09,340.0,4.0
2020/01/09,12:00:00,0.0363,2.4,6.5,43.0,57.32,0.0,1.0
2020/01/09,13:00:00,0.0369,1.9,6.4,43.8,58.3,282.0,2.0
2020/01/09,14:00:00,0.0356,1.8,6.2,52.3,56.19,343.0,6.0
2020/01/09,15:00:00,0.0382,1.1,4.0,50.3,56.96,350.0,7.0
2020/01/09,16:00:00,0.0393,0.9,2.1,55.3,52.86,344.0,15.0
2020/01/09,17:00:00,0.0379,0.7,2.5,54.3,51.07,342.0,12.0
2020/01/09,18:00:00,0.035,1.1,4.3,53.5,50.18,354.0,6.0
