date,time,ozone_anaheim,no_anaheim,no2_anaheim,RH_anaheim,TEMP_anaheim,WINDIR_anaheim,WINDSPEED_anaheim
2020/01/05,09:00:00,0.0169,10.9,19.900000000000002,58.2,58.45,111.0,2.0
2020/01/05,10:00:00,0.0261,6.8999999999999995,16.9,51.0,62.35,114.0,1.0
2020/01/05,11:00:00,0.0318,5.6,16.299999999999997,42.6,66.38,0.0,1.0
2020/01/05,12:00:00,0.036,5.2,18.0,40.5,68.14,215.0,1.0
2020/01/05,13:00:00,0.0396,4.6,19.8,38.0,69.02,251.0,2.0
2020/01/05,14:00:00,0.0378,4.6,22.3,42.2,68.77,250.0,3.0
2020/01/05,15:00:00,0.0284,5.0,28.7,56.2,65.01,238.0,5.0
2020/01/05,16:00:00,0.0207,2.5,28.9,68.2,62.51,220.0,3.0
2020/01/05,17:00:00,0.0138,1.6,34.1,73.5,60.31,184.0,2.0
2020/01/05,18:00:00,0.0071,3.3,39.4,73.0,58.45,203.0,2.0
2020/01/05,19:00:00,0.0044,5.0,39.4,76.2,56.79,0.0,0.0
2020/01/05,20:00:00,0.0004,22.2,41.6,77.5,55.74,0.0,1.0
2020/01/05,21:00:00,0.0002,32.7,39.199999999999996,80.7,54.67,56.0,2.0
2020/01/05,22:00:00,0.0001,31.8,35.4,80.9,52.82,0.0,1.0
2020/01/05,23:00:00,0.0001,32.599999999999994,34.3,79.2,52.01,32.0,1.0
2020/01/06,00:00:00,0.0037,14.200000000000001,31.9,64.4,53.69,37.0,3.0
2020/01/06,01:00:00,0.0164,2.0,20.7,38.7,57.27,35.0,5.0
2020/01/06,02:00:00,0.0329,0.9,7.7,23.0,61.88,45.0,6.0
2020/01/06,03:00:00,0.033,0.8,8.4,18.9,62.87,49.0,3.0
2020/01/06,04:00:00,0.0164,2.0,22.2,28.4,57.54,30.0,3.0
2020/01/06,05:00:00,0.0122,8.3,30.099999999999998,23.4,59.63,51.0,2.0
2020/01/06,06:00:00,0.0211,10.5,23.7,15.5,63.22,51.0,4.0
2020/01/06,07:00:00,0.0047,21.1,37.900000000000006,25.9,58.25,12.0,2.0
2020/01/06,08:00:00,0.0096,31.2,35.3,20.6,64.04,12.0,3.0
2020/01/06,09:00:00,0.0314,5.2,13.899999999999999,10.7,70.86,56.0,8.0
2020/01/06,10:00:00,0.0361,3.4,9.2,9.5,73.62,79.0,9.0
2020/01/06,11:00:00,0.0371,3.1,8.8,8.6,76.05,64.0,8.0
2020/01/06,12:00:00,0.0399,2.5,7.2,7.0,77.36,54.0,9.0
